institution,n_site_zips_for_inst,covered_population,covered_population_M,covered_population_share_%
Ohio State University James Cancer Hospital,1,1893720.0,1.89372,0.5659818460273842
The James Cancer Hospital and Solove Research Institute at The Ohio State University Comprehensive Cancer Center,1,1893720.0,1.89372,0.5659818460273842
The Ohio State University,1,1893720.0,1.89372,0.5659818460273842
The Ohio State University Comprehensive Cancer Center,1,1893720.0,1.89372,0.5659818460273842
The Ohio State University Wexner Medical Center James Cancer,1,1893720.0,1.89372,0.5659818460273842
Ohio State University Comprehensive Cancer Center,1,1893720.0,1.89372,0.5659818460273842
Lehigh Valley Topper Cancer Center Institute,1,1880734.0,1.880734,0.5621006807798758
Primary Children's Hospital,1,1857841.0,1.857841,0.5552585803631802
Virginia Oncology Associates,2,1855388.0,1.855388,0.554525444805492
Froedtert & the Medical College of Wisconsin,1,1783487.0,1.783487,0.5330361746329138
Local Institution - 0195,1,1783487.0,1.783487,0.5330361746329138
Medical College of Wisconsin and Froedtert Hospital,1,1783487.0,1.783487,0.5330361746329138
Medical College of Wisconsin,1,1783487.0,1.783487,0.5330361746329138
Froedtert Hospital and the Medical College of Wisconsin,1,1783487.0,1.783487,0.5330361746329138
Froedtert and the Medical College of Wisconsin,1,1783487.0,1.783487,0.5330361746329138
Lineberger Comprehensive Cancer Center,1,1676339.0,1.676339,0.5010125265549813
Duke Blood Cancer Center,1,1652075.0,1.652075,0.4937606712057172
Duke University Medical Center - Division of Hematologic Malignancies,1,1652075.0,1.652075,0.4937606712057172
Duke Cancer Institute,1,1652075.0,1.652075,0.4937606712057172
Duke University Health System (DUHS),1,1652075.0,1.652075,0.4937606712057172
VA Tennessee Valley Healthcare System,1,1621465.0,1.621465,0.48461216756901365
Southeastern Regional Medical Center,1,1578391.0,1.578391,0.4717385104096746
Virginia Oncology Associates - Norfolk,1,1566676.0,1.566676,0.4682372127911192
Pennsylvania State University,1,1524597.0,1.524597,0.45566093430275434
Local Institution - 0231,1,1501662.0,1.501662,0.44880628121854016
